|9
acostumbrarme|8
persona|30
muchas|6
dejo|6
hacerlo|8
siento|25
falta|8
mío|5
puedo|25
quién|1
😡😡😡😡|4
dinero|8
ropa|11
zapatos|1
tipo|5
lindas|5
esmaltes|1
vida|16
llamen|3
viendo|3
serie|1
😊😂|1
porqe|1
digan|39
mentiras|4
quieran|2
cara|42
sé|21
toda|39
💆|2
son|30
completamente|8
distintas|3
están|20
vamos|4
queres|4
obligara|1
😒👊|1
idiotice|1
estés|3
mil|14
razones|2
estarlo|1
mejor|13
cállate|4
abrazame|1
dale|5
queja|1
otros|4
tienen|21
cambie|2
voz|1
enfermo|1
médico|2
horarios|2
van|13
respetar|2
atienden|2
ellos|10
falsa|2
loco|10
fingen|2
unas|6
sonrisa|4
responden|14
👊😠|2
n|1
m|4
creen|5
vida:|1
-los|2
grupos|2
wpp|2
sobre|9
pelotudeces|1
audios|5
innecesarios|1
manda|5
este|16
visto|13
depilarse|2
tendría|2
repasarme|2
paso|4
poquito|3
tema|8
ale|3
jajaj|3
soy|33
simpática|2
cortesía|2
flashea|2
re|60
osea|9
chau|2
pasó|3
sueño|9
besarte|1
despierto|6
juli|1
enojada|2
contestan|7
cada|11
media|8
hora|17
esta|61
cortado|1
lpm|5
😠|5
asi|22
verdad😡😡|4
interrumpan|3
hablando|7
😡|13
colectivos|3
suben|1
negros|1
🚌❌|1
tu|31
dra|2
profesa|1
su|70
interior|1
también|4
ama|3
😍|2
extrañar|2
he|3
tenido|1
teamorfa|1
❤️|1
comiendo|72
crujiente|4
deja|15
oir|4
película;|4
cámara|4
lenta|36
entrar|6
wsp|3
notifique|1
😠😡😡😡😡|1
grande|3
sigue|4
pelea|2
puta|15
madre|21
lado|8
invierno|1
xq|10
gorda|2
abrigo|2
garrafa|1
100|1
kilos|1
tweet|3
mes|1
saca|8
retweet|1
mostrarle|1
foto|7
termina|2
todas|7
galería|1
sea|14
vieja|17
permitido|1
favs|1
querer|3
jdr|1
xd|5
haces|6
contrario|2
esperabas|1
cogiendo|1
hombres|2
resultar|1
keikito|2
vínculos|2
innegables|2
narcotráfico|2
hago|9
alegría|3
escriben|6
hacerme|3
perder|1
minutos|1
llegan|6
whatsapps|1
ortivan|1
estuve|1
horóscopo|1
razón|8
verano|1
vas|6
dormir|8
dejas|3
ventana|1
abierta|6
oyes|1
ruidos|2
abuelas|1
sentimientos😓|1
thiago|1
vio|1
vino|6
corriendo|1
tiró|1
odio😂😂|1
él|8
celular|12
ortooo|1
mujeres|1
ñoñas|2
cruza|1
camino|2
pensar|3
pistola|1
pum|1
pendejas|1
siesta|3
pongo|14
pelotuda|5
mandan|16
tienda😡|1
imanol|1
contra|68
--|8
llené|1
seguir|5
piden|5
apuran|1
em|1
necesitas|6
hacelo|1
confunde|1
plancha|1
&|2
quiere|5
agua|6
vez|10
coca|1
😂😣|1
amiga|13
novio|3
clase|3
artistas|5
les|23
sube|1
fama|1
horrible|1
caen|18
mal😡😡|1
cortan|4
calles😑😑😑|3
actúas|1
sentir|9
pensamientos|1
dejan|8
moría|1
ayer|1
dijo|3
zorra|1
laurita|1
ame|1
ksjflskfflfk|1
justo|8
causado|1
pls|5
prota|1
gratuitamente|1
plss|1
😂|3
aunque|12
eterno|10
cambian|13
actitud|8
juntan|8
personas👌|7
ningún|2
personaje|1
gustan|3
rolean|1
luvian|1
similares|1
cambiar|4
encuestas|1
larga|3
otra|16
viste|4
amor|12
al|65
segundo|2
bueno|8
bostezo|1
lágrima|1
ve|18
pregunta|2
porq|1
llorando|3
muriendo|1
luego|3
sacan|5
permisoosea|1
pedis|1
doyy|1
despues|4
contraseña😒|1
celos|4
reclamar|3
somos|5
perrito|3
poder|6
llevárselo|3
casa💔|3
wanda|1
controla|1
mente|3
tony|1
stark|1
imagina|1
sus|6
amigos|9
mueren|2
posible|1
protegerlos|1
aún|2
bardear|11
físico|10
enojo|11
primero|12
mina|1
favea|2
tambien|3
bardea|1
mm|1
entendo|1
deciditee|1
66|2
cuéntame|2
ti|3
ahí|7
precisamente|2
blanco|4
snap|7
entendió|1
snaps|4
generales|1
😂😂😂|2
esq|1
hipo|3
noches|4
hermano|5
peta|1
pared|1
😂🔫|1
tirandpme|1
merd|1
culiada|1
bondi|5
lleno|8
pelotudo|8
pasando|1
atras|2
roberto|1
apoyarte|1
buena|2
memoria|4
trata|2
él😞|1
cosa|26
toquen|2
cabello|1
hecho|3
paja|6
películas|17
terror|2
gritan:hay|2
asesino|2
responder:síestoy|2
cocinaquieres|2
sándwich|2
invita|2
sola|8
colectivo|5
normales|3
perfumadas|3
turros|3
olor|8
d|9
i|3
nunca|10
necesitan|9
toque|3
aparentan|1
ser|53
moneda|1
falsas|2
traicioneras|1
acabar|1
rematar|1
groseras|1
pendejos|2
pelotudos|3
gritan|4
alteran|1
obvias|1
fallarles|2
pido|5
segundeen|2
chupenmela|2
mambo|2
mio|7
chabon|4
😤|10
extrañas|1
cdmhasta|1
uds|3
dejar|6
tranquilospuro|1
viven|2
aqui|1
ls|1
importa|13
dsgrciados|1
mienten|1
cree|2
congelan|2
manos|4
entienden|2
llega|6
venir|2
salón|1
orgullosa|8
❌❌❌|7
sunir|2
snapchat|6
borra|2
cansado|102
salta|2
uno|24
punto|35
morite|3
encima|13
contando|9
sacar|3
discuto|15
termino|50
discutir|16
ocurren|17
miles|16
insultos|15
podría|16
haber|16
dicho|16
durante|1
muchisimo|1
decidan|1
hablarme|4
pedirme|1
den|4
palo|2
cavani|1
juega|38
mejores|1
cuadros|1
mundo|12
goles|2
ruido|37
duermo|3
llena|6
fiesta|4
podes|8
caminar|3
incómodo|3
responder|5
seguida|1
tres|2
noto|1
aire|1
caliente|2
labio|1
respirar|1
matemática|1
dios|8
agregan|1
difíciles|1
cagan|3
urgente|4
tantas|5
vueltas|5
ayudarte|3
justifican|2
diciendo|6
buscó|1
cual|7
cama|6
😠😠😠😠|3
contestarrr|1
siente|2
salen|21
anuncios|1
spotify|1
😕😠|1
forra|3
enviajo|1
mitad|1
mamando|1
peor|7
esperan|1
respuesta|4
qe|2
respondan|3
baten|1
cualquiera|3
👊👊|1
dice|60
pues|33
sÉ|33
helan|2
piesss😑|2
agarra|7
escuchar|36
gotear|2
cierran|2
bien|51
canilla|2
cerrar|1
trimestre|1
ultimas|1
semanas|1
llenan|2
pruebas|1
frio|8
gusta|24
bañarlos|1
vereda|1
grados|1
detesto|5
vengan|1
saludar|2
auriculares|3
puestos|2
ves|7
reiniciar|1
mirame|1
agarran|4
ataques|1
bronquios|1
pasan|11
mí|4
bañar|3
amontonan|1
😤😤😤|1
saliendo|2
improvisadas|1
ultimo|3
llegar|5
caloncho|1
facturas|1
perooo|1
coco|1
pan|1
escribo|4
otro|7
línea|3
desconecta|2
cuelga|3
👊🏼|2
😠😠|3
ah|2
quería|1
vivir|6
doceavo|1
piso|1
luz|2
😫💡|1
levantó|1
pesas|1
confirman|6
nada😤😤😤|6
duplicado|1
alma|4
entro|3
tw|3
inicio|6
tweets|4
año|4
1810|1
ponen|20
pelotudo/a|1
reaccionÁ|1
rar|2
dentro|2
¬¬|1
ir|15
comprar|6
abuelo|1
llama|7
vendedor|1
muestre|3
queeeeeeeee|1
rato|9
duerme|2
mano|3
actualice|1
notas|2
cómo|3
fue|4
chica|1
cuelgan|2
gato|3
decisiones|2
importantes|4
toman|3
juego|3
absurdo|2
jajajajaja|3
muchísimo|6
rompan|4
bolas|2
miro|6
novelas|2
enoja--|1
entren|1
pieza|1
toca|5
leer|1
spice|1
and|1
wolf|1
to|1
aru|1
index|1
etc|3
acumulan|1
ligeras|1
leyendo|1
stalkean|1
hacen|29
sarpada|1
jajajajajaja|1
cancioncita|1
familia|1
ingalls|1
empieza|6
chiripiorca|1
apago|1
😉👍|1
clavan|7
😠😠😒|1
mensajes|1
juntos|2
abro|3
emoción|1
jajaja|3
tal|2
durmiendopor|1
acuerdo|1
😂😂|4
situation|1
minas|2
llevan|3
obvio|2
cuqui|1
llevo|2
mh|4
“yo|1
necesito”|1
—|1
juancho|1
marqués|1
corpiño|2
tener|28
ponermelo|2
cagarme|3
amo|20
enano|1
hablas|9
cortante|1
enojas|1
conmigo|7
tus|4
consejos|1
fijo|2
decís|1
holate|1
quien|3
llamando|1
preguntar|3
maleducado|1
consigo|10
ha|14
sido|10
suerte|10
delante|1
puerta|6
bajar|1
cinco|1
cuadras|1
antesonda|1
bajo|1
prox|1
craa|1
malditaseaodio|1
vacila|1
mujer|2
evelyn|1
pendeja|1
*abrazame*|1
andate|1
*quédate|1
*|4
chau*decime|1
quede*|1
odio*te|1
mira|1
*celos|1
*algo|1
cae|3
bieeen|1
orto|20
traicioon|1
ahr|2
ashton|1
michael|1
malas|2
depresivos|1
padres|3
han|3
bebido|2
buguea|1
twitter|5
garrón|1
dormis|1
plaza|1
minita|3
parada|1
destino|1
plata|1
lejos|1
densas|1
77|1
mirando|2
molesta|2
usar|1
adri|2
mimos|1
mami😭😭|1
adrián|1
cuba|1
esto|18
d:|1
organizo|1
quiero😡|1
atiende|1
celu|1
atiendo|2
llamadas|2
loquita|1
hacercuando|1
memoriase|1
vota|1
creer|4
gnoinhumano|1
paa|1
atrasan|1
😡😡|3
frente|2
parece|5
días|4
viajo|2
80|2
minuto|1
sí|2
1|4
47|1
nomas|4
pinto|4
uñas|6
quedaron|4
cago|6
tocando|4
trespalabrasquemealteran|1
banda|1
apenas|2
prepa|1
papás|1
trabajan|1
walmart|1
pregunté|1
importante|9
jodiendo|2
medio|3
-|3
pibe|5
era|4
entre|2
nosotros|1
panqueque|1
medicación|1
ajustan|1
brackets|1
mandíbula|1
😂😭💔|1
cancheros|1
personasseguila|1
dsp|1
rogas|1
💋😉👋|1
graban|1
niños|1
chiquitos|1
majaderías|1
vergüenza|2
tantita|1
neta|1
53|2
pestañas|1
postizas|1
ven|3
feas|2
muy|16
exageradas|1
flaca|2
engordo|1
odio😒|1
☁|1
añoro|1
tuve|3
empecé|1
quemar|3
piedras|1
dejé|1
las…|1
haciéndote|1
víctima|1
abuela|1
fatal|1
dijiste|2
poco|9
pérdida|1
nieto|1
84|1
salir|13
jodan|2
findes|2
libres|2
tomi|2
invitar|2
shop|2
planeslo|2
desaparezcan|1
acerca|1
frustraa|1
histéricos|4
viejos😠😠😠|4
juro|4
gimnasio|1
vengo|1
saco|1
salgo|4
feliz|2
😄💪|1
escucho|2
música|8
leo|1
tema😒|1
tomo|1
ciertas|1
bebidas|1
sabor|1
casi|2
morí|1
infinito|6
pierdes|4
orgullo|3
mandas|3
mensaje|7
arrepientes|3
haberlo|3
enviado|3
papa|5
saben|11
soretes|2
decirte|2
una😭|1
paspan|1
labios|1
hno|1
boludo|1
🔫🔫|2
ay|1
pareces|1
aries|1
pedazo|1
semen|1
pinta|1
culo|2
puro|1
signo|1
propósito|1
envidia|1
disparan|1
mirar|3
escudo|1
espartano|1
rebota|1
blam|2
haciéndose|1
porteñitos👀|1
compro|2
rimel|2
lloras|2
escuchas|3
cantar|3
vernosbanca|1
malhumor|4
salí|3
muerto|1
sueñoo|1
irme|1
acuesto|1
ganchooo|1
😒😒😒👎|1
impulsivo|1
educado|3
enseñado|3
límitesla|3
barbarie|3
cunde|3
hacia|10
será|2
98|2
queje|2
😒😒😒|2
indirectas|2
cogen|1
😡😡😡|3
lentos|1
discutimos|3
pegarle|1
lejos😡😂😂😂👊|1
😈😈😈|1
huele|1
bloqueito|1
escucha|7
escuchando😤|1
dealers|1
weá|1
viernes|4
volando|1
situación|1
misma|5
dejarme|3
caer|1
canción|15
equivoque|6
cantando|6
volvio|1
jaja|2
aca|1
residente|1
superandose|1
album|1
exitoso|1
mijo|1
regresa|4
vuelvo|2
amarlo|1
pregunten|4
*te|1
enojaste*|1
histerica|1
nose|3
hacerrr💣|1
verle|1
hermanas|3
cancelan|1
md|1
notis|1
cuelgo|1
😩|2
cuarto|1
plato|3
menos|12
judÍas|3
cena|4
meterla|3
volver|2
16|1
hacía|2
salía|1
vejez|1
llamó|1
nacho|1
modo|3
ocupado|1
piolas|1
puso|1
doble|1
intención|1
😬|32
vicky|1
largo|4
mañana|3
contame|1
mamiii|1
buscar|4
desconectado|2
cargo|2
uufff|1
maurcio|1
temprano|10
provocas|1
saves|1
sufrir|1
😣|3
paranoica|1
pichan|1
novios|1
avion|1
boluda|4
tb|1
sabes😀|1
alborota|1
rinitis|1
bajones|1
😣😡|1
recomiende|1
libros/musica/películas|1
bloqueo|1
terminó|1
recomendando|1
coehlo|1
arjona|1
transformers|1
seca|2
pelo|1
actualización|2
cuesta|8
acostumbre|2
habrá|2
actualizado|2
entenderé|1
odio/asco|1
piqué|1
selección|32
finde|2
clima|2
paguen|1
afectan|1
conquista|2
milagros|2
fe|2
encuentra|2
merece|3
siquiera|2
odiarlo|1
ortiva|1
keiko|2
prensa|1
generó|1
e|20
hizo|2
peruanos|1
enfrentemos|1
confirma|1
we|1
poner|8
😔|2
momentos|6
depilar|1
cera|1
❌❌|1
confieso|1
encantas|1
sonríes|1
sonrojas|1
curso|1
mangueando|1
hojas|1
ratas|1
chiquito|1
berrinche|1
taaaaan|1
molesten|6
bola|11
coger|1
trenes|1
conllevan|1
despedida|1
juan|1
elige|1
leer😡|1
mtvartargairbag|4
mtvmiaw|2
playback|1
videos|1
oficiales|1
olvido|5
entonces|2
recuperarla|1
recordar|3
infancia|1
papá|1
mtv|1
mÁs|3
mabeeeel|1
haz|1
yalleganlosmtvmiaw|1
pies|1
fríos|1
verdad😡😠😠😠|7
enojado|2
reír|3
vendedoras|4
tipopara|4
trabajas|4
perdonar|2
quizá|1
parecer|1
débiles|2
tenemos|4
ira|1
guay|1
cumplido:|2
ídolo|2
ídolos|2
agradecido|2
v:|4
compra|2
burger|2
king|2
compañero|2
andan|1
hacemos|1
hacernos|1
algola|1
birras|1
compran|1
chiste|4
escrachan|1
fotos|6
dé|1
paranoia|1
espero|2
lados|1
buscándolos|1
reí|1
jajajajajajajajajajajajajaja|1
imagino|2
causa|2
gracia|4
reírse|1
eso😒😒😒|1
agustin|2
explicar|3
pelotudas|2
flashean|2
cualquier|3
dd|1
verdsd|1
scumulado|1
vasito|1
comerme|1
forreadas|1
genio|3
esperado|3
llevar|6
cabo|2
tenía|4
preparados|2
dentista|4
boca|7
olvÉ|4
ijo|4
uta|4
age|4
os|6
ogas|4
engo|4
oca|4
aierta|4
onca|4
ade|4
enferma|2
matar|3
antojos|3
:|7
caga|3
tumblr|2
arriba|1
ibas|2
siguiendo|1
anterior|1
mala|1
malo|3
grupito|1
solos|1
tiemblan|1
tuvo|1
buenas|3
reten|1
6|1
hermana|4
aplauden|1
menos😡|1
vais|1
solterxs|1
like|3
grupo|3
telegram|1
fuese|1
enfermedad|1
haya|1
solucionar|1
cuanto|2
eh|1
pareja|1
kim|1
kanye|1
ex|2
quisiste|1
nueva|2
noviani|1
ups|1
ojalá|3
ponga|2
pronto|1
pueda|1
másodio|1
mangas|1
medias|1
calma|1
subieron|1
historia|1
realidad|22
respeto|2
sabe|4
moleste|2
encerio|1
tan|14
cb|1
desaprovechan|1
estupides|1
ocho|1
😑|2
salgan|2
chat|5
ignoran|2
aviso|1
agh|1
putos|1
tratan|1
femenino|1
pelean|2
hombre|3
cementerio|1
canelone|1
bloqueado|1
demasiado|4
libreta|1
cuidado|1
avisa|1
andas|1
viejita|1
estupido😠|1
escuchan|1
termines|1
odiando|1
musical|1
quieras|1
escucharlo|1
5%|1
batería|1
baja|2
luz👎|1
realmente|31
científicos|2
estupidez|1
expresión|1
sino|2
ocultarlo|1
notan|1
😒😒|1
50|1
grite|1
pedos|1
ciega|1
sorda|1
muda|1
conviene|1
recordemos|1
campañas|1
perros|1
huevo|2
comida|5
acaso|1
todavía|1
asco|2
huevo😠|1
película|1
escenas|1
adultos|1
quejándose|1
haciendo|4
declaración|1
anual|1
empiezo|3
primer|1
estamos|1
así😞😢|1
gire|1
pantalla|2
dar|6
final|2
concierto|1
increÍble|1
joder|2
acaba|1
vieron|2
mariposas|2
estómago|2
presta|3
atención|5
revisar|1
historias|3
😢|2
ajena|1
cuentan|1
quilombos😡|1
quÉ|1
vi|3
notificaciones|2
ughhhhh|1
daniel|1
solucioname|1
empeizo|1
😩😕😓|1
fototrampa|3
bellísimas|3
fácil|1
miremos|1
adelante|1
atrás|1
odiolas|1
calumnias|1
sirvieron|1
hipocrecía|1
quiero😠|1
descomponerme|1
viajo😓|1
viejas|2
vienen|6
llaman|1
privado|1
directamente|2
trabajar|1
patético|4
mía|4
tarde|10
😐😒|2
veas|1
mezquinas|2
tenes|8
ahi|4
pedirte|2
escribe|1
wsspp|1
👊👊👊|1
transpiran|1
carezco|1
hailey|1
propia|2
idola|1
almacén|1
trato|1
estaba|8
mete|1
encariñarme|6
habías|6
acostumbrado|6
simplemente|6
fingir|14
pienso|3
decime|3
vena|1
ojos|2
llorosos|1
😣😢😢|1
sensación|3
verlo|1
chocan|1
cambios|1
ingresaste|1
tenia|3
pario|1
vivo|1
viene🖕|1
jode|14
contestarme|2
lea|1
pregunte|2
literalmente|1
hunde|1
chupa|1
lugares|3
conozcopor|2
hice|4
esteban|2
jure|2
veces|5
baje|2
fluvial|2
necesito|4
ayuda|3
desp|3
20hs|1
don|2
hablarle|2
😊|4
algo😠|2
arranques|1
histérica|1
stalkeas|1
sientes|3
odio;|1
examen|2
compañeros|1
empiezan|7
21|1
32|1
puse|1
fotosíntesis|1
colgarme|1
mates|1
estudio|1
asquerosos|2
hm|2
igual*le|2
intenta|4
acercar|2
muevo*|2
embola|2
preferencia|1
camille|2
taxis|2
maaas|2
lokk|2
awwwwww|1
invitas|1
andar|2
bici|1
odio/bronca|2
peleaste|2
ande|2
pasaron|3
ogt|2
tía|1
decirme|2
pase|1
volado|1
agusto|1
joden|2
locoon|1
rusa|1
no👊😤|1
picsa|2
pitsa|2
bronca😐|1
13|2
falsedadesmas|2
cabeziando|1
audífonos|5
oyendo|4
violada|4
ahre|9
colegio|3
suponía|1
íbamos|1
3|6
bitch|1
envidiamos|3
lagarto|3
acá|4
envidio|3
kardashian|3
facturan|3
respirando|3
odie|1
sobretodo|1
mutuo|2
odien|1
sorry✋😂|1
verla|1
contenerla|1
manga|1
falsossssss|1
hacerodio|6
claven|2
concha|5
llenen|1
mogólico|1
lctm|1
querés|3
series|1
parejas|1
whatsapp|6
abriendo|2
ése|2
fan|2
gritar|5
dejarla|1
gritando|1
encanta|1
😹🙌|1
repitan|2
apuren|1
bus|1
30|2
volves|2
ayy|1
expresar|1
pal|1
cabron|1
voicemail|1
primeros|1
mandarte|1
👊😡😡😡|1
levantate|1
salio|1
sol|2
supone|1
fotosintesis|1
llenar|1
darle👀|1
prestar|1
egoísta|2
devuelven|1
diferente|3
estado|1
preste|1
posta|5
ellas|1
mínima|1
bolilla|1
mastican|1
chicle|1
apurada|1
enzo|1
tenga|2
gedeee|1
acostada|1
contesten|4
ganan|1
👇|1
mate|1
😤😠😠😠😠|1
profundamente|2
responderme|2
muuy|1
caminando|1
x|4
callee|1
✌|1
saludo|1
caes|1
✌😂|1
juegan|2
blancoooo|2
telefono|1
nesesitan|1
atender|1
sincero|3
alcohol|1
contigo|2
embriago|1
princesa|1
reina|1
uh|1
piña|1
cambia|2
ponerme|1
alguienahora|1
jugando|5
ego|1
podrido|1
falso|1
estúpido|1
inutil|1
sentía|1
humillaba|1
lastimaba|1
pendejo|1
bobo|1
atiendan|1
apurado|1
lola|1
seria|1
hola|17
nicolás|1
diaz|1
piensa|2
lindo|8
hacerse|1
quiso|1
pegar|1
nerviosa|2
vice😡|2
dia|4
pajero|2
busquen|1
pasta|1
meter|1
resbala|1
cubierto😑😑😑😑😑|1
levanté|1
abrí|1
heladera|1
habia|1
enchotantes|1
haré|1
grosera|1
idea|2
mierdas|1
fiel|1
triple|1
sentar|1
banca|2
botón|1
presiona|1
equivocaron|3
mayonesa|1
ketchup|1
odia|1
haría|1
madrugada|1
rie|1
😣😤😤😡😠|1
ríen|1
😤😡😠😣|1
amable|28
deseo|28
escupirle|28
enojo/frustro|1
llene|1
negatividad|1
tantos|3
noes|1
sÍ|1
curioso|1
demuestre|1
afecto|1
cariño|1
dias|1
cambio|2
increíble|1
rompen|4
huevos|2
raro:|3
agreden|3
antitaurinos|3
toro|3
vega|3
fiscalía|3
aplica|3
agravante|3
delito|3
“descansovivir|4
hijueputa|4
sam|4
smithvuelve|4
amr💔|4
xqe|1
asia|1
chikita|1
sabia|1
perdoname|1
mama😭😭😢😢😢♥♥|1
viejo|4
todo😡|1
invitan|1
sienta|3
cigarrillo|1
arregla|1
juntarnos|1
cansada|1
conduce|2
karma|2
razon|1
hora👊👊👊|1
😥😥😥|1
estupida|1
deprime|1
cruzamos|1
cargarlo|1
trompadas|1
bldo|2
angustia|1
chingo|1
llueve|1
comprarme|2
auto|4
adonde|1
cante|4
taanto|1
desde|2
explicaciones|3
convertí|1
creo|1
mulino|1
espejo|1
cinismo|1
mentirasni|1
aprende|1
miami|1
ensucian|1
brian|2
tgi|1
opinión|2
incurable|1
creciendo|2
cancer|2
narras|1
partidos|3
inmediatamente|1
fútbol|2
prefiero|5
partido|9
inglés|1
dura|2
incómoda|2
😠😒|1
personas👋👌👐|1
updates|2
apps🙄|2
miente|2
engañándote|2
has|4
pillado|2
acertado|2
paga|7
pague|1
rubia|1
cc|1
novias|1
dejaqn|1
tirado|1
alto|2
gil|1
corran|1
beso|3
caliento|1
capas|1
dejarte|1
durmiendo|3
patio|1
conozco|3
matarme|2
periodista|1
marioneta|1
sistema|1
generará|1
pueblo|2
vs|1
generadordeodio|1
abierta👊👊👊|2
😖😖😖✋❌|1
papámereceeloro|16
abrazos|1
llanto|2
atrapado|1
real|1
seguro|1
morir|2
peleando|1
quiten|1
televisor|1
10|2
100to|1
pregunto|4
facebook|2
recuerda|1
publicaciones|1
patética|1
sigo|1
siendo|1
celoso😞|1
unos|3
cerdos|3
míriam|3
españa|3
pusieron|3
fina|3
programa|35
carlos|3
lalozanadecarlos|3
😡😤|1
intensa|1
suyos|1
ustedes|2
bañarse|1
secar|1
baño|1
toto|1
maal|1
cumplido|1
bigote|1
repente|1
anda|4
cagar|2
té|1
coherencia|2
intelectual|2
forro|4
pelotudez|2
destilar|2
colectiveros|1
frías|1
lento|1
orto👊👊|1
desconfigura|1
cúando|1
chile|1
partido:/|1
enfadada|1
👏🏼|1
senti|2
malota|1
salude|1
😏|1
👿|1
empiezen|1
agar|1
empresa|1
dioss|1
solas|1
pe|1
vosa|1
twits|1
😅😠|1
sobrinos|1
tranquilo|1
quilombo|1
jamón|1
crudo|1
tocas|2
chancho|1
escuchando|1
televisiÓn|32
cÁmara|32
numero|2
personal|1
😒🙄|1
móvil|1
doler|1
venas|1
😞|1
estático|1
vemos|1
nada;|1
fuerzas|1
lágrimas|1
agustín|1
desaparece|1
nada😤|1
pasandola|2
encerrada|2
odian|2
jajajaja|3
tiras|1
odias|1
con:|1
tremenda|2
trola|1
suene|1
egoista|1
gustos|1
asii|1
😡😭|1
ahha|3
doubles|1
더쇼|1
doubles301|1
decido|1
llamarle|1
cursar|1
cocina|1
cocinar|1
hijo|2
antonio|1
internado|1
salió|1
risa|1
ocurre|2
duermen|1
🙅😢|1
dosis|1
medicina|1
quiera|1
retorna|1
rabia|1
maldad|1
emergeno|1
pc|1
levantar|1
calentarme|1
estufa|2
sres|1
grave|1
anden|1
dedicándole|1
pelotudes|1
26|1
canal|1
romper|3
pedazos|1
cn|2
puto|2
maneja|1
cable|1
traten|1
ojo|1
florece|1
libro|4
resulta|6
esperaba|4
lanzarlo|4
vuelteras|1
arreglas|1
oseaaaaaaaaa|1
cagate|1
telesur|1
asunto|1
cerraron|1
rctv|1
dolor|3
nervios|1
destruyen|1
corrigen|1
tendria|1
malditaaaaaaaaaa|1
eso😡|1
pelearme|1
papas|2
desperdicio|1
aunqe|1
grito|2
:v|2
sobrino|1
demora|1
;-;|1
dejaron|2
niñero|1
antireflejo|1
lentes|1
cargan|3
