|22
ella|50
hija|2
marge|1
marcela|1
genia|2
nota|4
quieren|2
alumnos|4
envidien|1
jaja|8
encanta✋🏻|1
😋|2
pesar|11
abandones|1
dsp|1
contraturno|1
compartimos|1
ideas|2
hablar|10
besar|1
🎼|1
poder|13
jesucristovive|1
odia|1
hago|9
posible|1
caerle|1
peor|2
amigas|4
salir|4
dos|22
días|15
finde|3
frío|3
lindo|22
somos|3
3|6
podria|1
viajando|1
colectivo|1
80mil|1
horas|8
fumar|1
viejo|4
bajar|1
locura|3
compartiéndonos|1
memes|4
viendo|6
tv|1
vez|41
ay|3
cosita|2
pato|3
ivana|3
gh2016|4
gustos|1
simples|1
arroz|2
limón|3
cilantro|1
pongo|3
bien|73
martina|2
disfruta|2
ama|9
x|2
dios|15
dejes|3
sola|3
rota|1
caminando|3
ahí|5
donde|3
hay|69
nadaaa💞|1
tienen|6
idea|9
pendejos|2
juntos😂❤️|1
abrazarla|1
joder|4
unica|3
comida|10
personas|12
saber|52
29|1
veo|13
abrazo|7
del|40
firma|1
🔜🙏🏼🇪🇸🎉|1
llegan|1
whatsapp|2
empezar|2
mensajes|5
papá|8
simple|3
mensaje|3
viernessssss😊👐💕|1
debes|1
agradecer|2
contigo|11
mayor|2
recompensa|1
+|2
pocos|1
minutos|3
as|1
tierra|2
🙆🏻|1
geordie|2
shore|2
estupidamente|1
compañía|22
poco|196
pasar|3
cantando|3
cantar|5
❤️🎶🙏🏼…|3
jack|1
oconnell|1
quiera|2
skins|1
esto|59
feliz😍|5
ha*ash|3
matisse|3
tanto|32
sentia|5
😌|4
tarde|7
󾌬|1
les|19
compartir|3
año|9
tenia|1
instagram|1
tuve|1
honor|1
dinah|3
teniendo|3
confianza|3
casi|10
tape|3
manitas|3
bebé|6
hermosa|10
ojala|3
alex|1
deje|1
subir|1
videos|6
verla|85
sonreir|8
😊😍😍😍😍😍|1
palabra|5
rodeada|6
alegran|1
vida💞|1
tweet|6
miras|1
ojos|5
escapa|2
meencanta|1
manteca|1
encuentran|1
motivo|2
retarme|1
😂😂😂|3
eres|28
serio|2
caes|3
genial|4
bellísima|1
fangirlear|1
contigo😘|1
escriban|1
primero|1
toca|4
iniciar|1
convo|1
fuerte|14
obsesión|1
habían|1
notado|1
kdbdbsjhsbsbsjsbswhsbs|1
pagina|1
porno|1
jajajaja|7
ricos|1
aquí|6
cualquier|7
lugar|5
positivo|1
preferible|1
buena|2
onda|1
quejándote|1
orgullo|3
importaculismo|1
guachada|1
😂😂|2
escena|1
mejores|4
dedo|1
pelear|2
sobre|6
temas|1
importantesme|1
intelectual😂😂😂|1
presión|1
constante|1
garantizada|1
última|1
gota|1
mentime|2
ja|4
danza|1
gimnasia|3
contesta|1
rápido|4
fácil|2
armar|1
planes|1
organizar|2
dan|10
verlos|9
seguido|4
profesora|3
pide|3
hagan|4
100|3
soledad|3
encanta:|4
juro|10
💘|5
sigo|12
dándole|1
mamar|1
mañanas|1
hora|6
nuestro|1
💞💞💞|1
parte|8
levantas|1
vas|2
camino|4
gordo|2
pau|1
está|29
horacio|1
guste|3
grettell|1
ok|1
😊|7
unico|12
robando|1
wifi|1
centro|1
salud|2
sol|7
evolucionando|1
bebe|1
sentía|14
punto|3
debe|3
uno|6
asumir|1
compromiso|1
asusta|1
pasando|4
tal|14
cumplir|1
felíz|11
pensar|7
stalkear|1
matt|1
ajajajaj|3
rayados|1
fin|13
tenga|2
buen|6
lateral|1
derecho|1
necesito|45
colegio|3
gonzalo|1
qur|1
novio|5
feliz😍😍|2
mÁs|1
😊😊😊😊😊😊😊|1
persigo|7
prohibido|17
ir|13
colé|1
😄|3
😍🙊|1
sí|5
feliz😌😀|1
conozcas|2
😍y|3
c|5
conoces|2
❤️❤️|4
manos|3
frias|1
pasarsela|1
espalda|1
sensación|3
ansias|1
lograr|2
algo🙌💯|1
jajaj|2
estás|5
loco|2
publicidad|1
expulsa|1
flema|1
quién|2
será|2
nuestra|1
invitada|1
lujo|1
susana360|1
🙂|2
domingo|3
10pm|1
pisculichi|1
humo|1
minas|1
tienn|1
ubicar|1
poner|3
todas|17
d|6
sube|1
conmigo|8
figuran|1
jasalio|1
celosa|1
adentro|1
nueva|5
armadura|1
titan|1
dlc|1
rise|1
of|2
iron|1
diseño|1
vía|3
artstation:|1
allan|1
lee|1
evee💪💕💞|1
asi|9
ayuda|3
miren|3
look|1
ah|1
saludar|1
niños|1
apretón|1
chócalas|1
choca|1
esos|3
cinco|1
preámbulo|1
uds|1
llaman|1
faje|1
hotwife|1
bigass|1
cucklod|1
putiesposa|1
mtvartargairbag|4
mtvmiaw|83
gritele|1
muero|1
joda|2
viste|1
tenés|2
color|1
marroncito|1
medioy|1
verdecitos|1
clarito|1
celeste|2
abrigarse|1
termino|3
pareciendo|1
obesa|1
estudiar|1
banshee|1
pasada|1
carlota|1
hecho|8
menos|11
jj|1
fnafhs|2
enserio|4
personaje|1
favorito|2
golden|1
personalidad|1
😉|1
visitarossa|1
diversión|1
luis|1
oriana|2
chistoso|1
lindos|1
gordis|1
duda|2
luriana💙|1
jugar|8
volley|1
escucharte|24
bonito|3
luz|2
creo|11
favorita|3
fiesta|2
bizarra|1
angela|1
espejo|2
sentir|23
peluquería|3
vea|5
snaps|1
oie|2
he|3
escuchado|2
promo|2
bueno|11
semeerizalapiel|2
💕❤💙💚💛|1
aki|1
uke|1
rebelde|1
x3|1
niego|1
pintar|1
sonrisas|1
rostro|1
🙊|1
suscrita|1
wapa😘💋💋|1
caitlyn|1
jenner|1
inspiró|1
leer|12
alegro|2
montón|2
levantarme|1
italia|1
vueltas|2
reír|9
importa|12
cuántas|1
veces|10
leas|2
verdad|20
nunca😆|1
enamorada|3
💘😍|1
llamen|1
numero|1
privado|1
concha|1
madre|6
hable|1
random|1
bufanda|1
tejió|1
mamá|15
😍👌|2
retwittear|1
cada|32
resubida|1
vídeo|1
dalas|1
vaya|5
apareciendo|1
propagando|1
censúranos|1
👌|1
canción|11
serÉ|1
tÚ|1
quisiera|1
escucharla|2
🙏🏽🙏🏽🙏|1
karmapoints|2
contesten|3
alternativa|1
caerme|1
prefiero|2
antes|3
quedarme|3
quieta|1
caerse|1
rabitodanosunministerio|1
jijji|1
caminar|1
super|4
testigo|1
inyecta|1
energía|1
falta|18
amoooooooo|2
encanta🎣🎣🎣😍😍😍|1
cadalso|1
extremadura|1
spain|1
actualización|1
😃|2
tiempo|30
hacía|1
lollo|1
puede|8
venir|5
river|2
papa|2
escuche|2
coldplay|2
👫☺☺|1
jake|1
bugg|1
dinero|3
retweeted|1
telemundo|1
deber|1
busca|1
manera|3
podes|1
haces|10
💕|10
alborota|6
scream|2
truinfar|1
ven|2
gran|3
talento|1
✨❤|1
lcsoundtrack|1
empezado|1
garitano:|1
gustan|1
plantillas|1
excesivamente|1
largas|1
seguir|6
cantera|1
vengo|5
athletic|1
eibar|1
lucho|1
aquello|2
mando|4
verga|1
llorar👌|1
viven|1
alma|78
vuelva|3
florecer|1
chau|2
pone|13
welivetogetherdealwithit|1
jajajajajajajaja|2
imagino|3
palacios|1
bailando|2
espada|1
cruz|1
sur|1
🙊❤️|1
ukai|1
oh|1
mÍo|1
nene|3
💍|1
cama|7
guli|1
encantabas|1
reality|1
inmensamente|4
sigas|1
aca|5
quedes|1
qie|1
nadaaa|1
cancion|1
nick|1
baile|7
dante|1
campeón|1
**me|1
rindo**|1
😭|2
beber|1
lunes|2
adulto|1
responsable|1
obliga|1
disfrutar|9
eslabón|5
feliz💖|5
dibujo|1
selva|1
tarzan|1
disney|1
tool|1
acaban|4
perturbando|1
área|1
metro|1
🇵🇷|1
quieroveralosgladiadores|2
entrada|1
handball|2
chicas|4
aprovechan|1
novios|1
netflix|2
siendo|6
sincera|2
ahora|14
digo|3
invitaron|1
avisa|1
llevarla😍👊🏼|1
activos|1
culo|1
borren|1
todos|22
whatssap|1
👏😪😑|1
vosno|1
vosquiero|1
besostus|1
abrazosquiero|1
detalles|2
dibujar|2
líquidos|2
odeio|2
circo|1
aliás|1
tudo|1
e|4
depois|1
vai|1
embora|1
🍃|1
👌😻💪🇪🇸|1
desperdiciar|1
tardes|2
siesta|3
dieta|4
j|4
entradas|4
respondes|2
2|4
😒😑|2
usar|1
ropa|5
invierno|1
feliz♪💑❤|1
❤🙌|2
diary|1
jane|1
buenos|1
recuerdos|1
acento|1
britanico|1
vivo|7
peleando|8
acordar|6
flanders|6
marta|6
ganaralmente|1
van|1
complicarme|1
vida🙄|1
tienes|9
💕️como|1
dejan|1
mi️|1
piel…|1
comunicación|1
tenemos|1
✨|14
bucle|1
snap|2
han|5
felices😊😊|1
3c|1
morena|1
cabelo|1
cacheado|1
pena|4
ponen|6
estado|3
fb|3
mg|5
hablo|3
doy|4
perfil|2
mamadas|1
culito|1
pijama|2
8am|1
desayuno|1
mete|2
gym|1
vuelve|5
perfuma|1
😏😙😌|1
jojojoj|1
romper|1
ilusiones|1
creen|1
rr|2
inmunda|1
😚💁|1
versión|2
grande|2
rey|4
lado|27
increíble|13
tartas|1
comérmelas|1
jurao|1
sr:ver|2
muchos|8
fans|4
especialmente|2
felizasí|2
adelante|2
yo-se|2
corta-cr志龍歐爸的少女1988|2
jode|13
felicidad|22
mamita|1
mundo♥|1
cumpleaños|7
mío|2
completamente|7
🙋😁😁😁😁|1
di|1
cuenta|7
maramasiempre|1
ahi|4
solucionar|1
problemas|1
noticia|3
dado|2
iremos|1
hermana|2
abandona|1
panteón|1
andy|2
pq|4
tl|2
sabe|7
subirle|1
volumen|1
sordamente|1
felíz🎧|1
aprendí|2
pensando|1
demás|3
queme|1
alturas|5
salvo|5
maxi|1
-asiente|1
lentamentesonriendo-|1
presencia|1
-le|1
acaricia|1
mejilla|1
haciendo|5
círculos|1
pulgar|1
Él|4
😍😭🎶|1
cochino|1
tema|1
joderlo🙌☺|1
ayer|8
prueba|2
vestuario|1
unas|3
foticos|1
especiales|1
marca|1
laura|2
joven|2
laburante|1
sera|1
recuerdo|2
contenga|1
empecé|1
arrow|1
omg|1
demi|3
my|2
teenchoice|2
for|2
choicebreakupsong|2
is|2
stone|2
cold|2
pudrirsela|1
carla|1
manejan|1
francescoli|1
donofrio|1
contratar|1
jugadores|2
jajaja|6
compartan|1
fecha|1
franko|1
:d|5
how|1
are|1
unicorns|1
made|1
—|4
reacciona|1
perdiste|1
muchoya|1
conti…|1
stalkeas:|10
alguna|12
piensas|13
quizás|23
ves|13
entre|12
aun|14
pidas|1
sagrado|1
mas🎧|1
enojar|1
opine|5
desiciones|5
😊💓|5
monroe|2
bella|2
graciaaassss|2
tuyo|12
muchisimoooo|2
cumple|12
caprichos|1
compro|1
libro|8
quería|4
mil|10
feliz😊😊😊|1
supieran|1
cuanto|6
😭💖😍|1
el*|1
😳|1
película|1
involucre|1
tortugas|1
ponele|1
novela|1
juan|2
cayendose|1
silla|1
sisoy|1
fria|1
dueño|1
señor|2
hilo|1
musical|1
puesto|1
trabajo|4
sangre|2
mucha|6
cuerpo|1
tirado|1
piso|2
apasiona|1
mega|1
escuchando|2
musica|2
hermano|5
:|12
poquito|2
laberintos|1
fuiste|1
salida|1
imperfecto|1
😁🎤🎤👌|1
ichimatsu|1
frio|1
llena|74
duermo|1
terrible|1
😁|1
infeliz|1
descubrir|2
hobbies|1
artistas|1
favoritos|1
maravilloso|1
traz|1
camaras|1
motiva|1
rías|1
además|3
boca;me|1
dejas|1
temblando|1
mehdricnalbandian|1
encantaes|1
eje|1
equiposigue|1
atajando|1
pletikosa|1
niall|5
ve|9
vestido|3
azul|1
señora|2
tendrán|1
llevarla|1
votarno|1
claroy|1
selene|2
miguel|1
Éste|1
perrito|1
habíamos|1
anunciado|1
unos|4
fue|3
adoptado|1
sinceramente|3
odio|4
mirar|1
fijamente|1
corren|1
mirada|4
grupo|5
telas|1
💕💘|1
critiqueo|1
oge|1
jejejeje|1
bailaba|1
martín|2
terk|1
permitido|1
humor|3
tomate|1
トマト大好きやで！|1
jorgista|1
tuits|1
leerlos|1
disfruto|1
fútbol|4
sigue|4
preciosa|1
atención|4
uso|9
mini|4
leggis|4
negros|5
bebes|4
cherni|1
dar|1
clases|1
genio|1
👏|2
roma|2
brooklyn|1
bendecido|6
afortunado|6
según|3
cne|1
hice|4
cola|1
firmar|1
planilla|1
ellos|5
echaba|1
aire|1
sala|1
firmante|1
cuenta🤘🏻|1
podrian|1
seré|1
patriaerestu|1
ensalzar|1
símbolos|1
abandonamos|1
nuestras|1
gentes|1
bandera:|1
yokai|1
jolines|1
curro|1
trabajando|1
aprendiendo|1
politicalocal|1
municipalismo|1
hermanito|1
😊💞|1
cocinan|1
👍👏|1
feliz🎶❤️|1
miserable|2
jajajjaa|1
bucear|1
sueños|2
😉😉😉😉😊😊😊😊😚😚😚😚👏🏽|1
hermoso|5
tanta|5
ingenuidad|3
produce|3
cierta|3
ternura|4
preocupan|1
medio|1
ambiente|2
piensan|1
afecta|1
admitir|3
alfrente|1
enmimuyhumildeopinion|1
actitud|1
😂😉👌😘|1
médico|1
horario|1
cual|4
turno|6
atiendan|1
después|2
joaquin|1
💖|3
era|6
obvio|2
po|1
chico|4
sería|1
ideal|1
jefa|1
capaz|1
generar|1
estrés|1
intenso|1
manda|2
emoji|1
carita|1
bipolaridad|1
emocionada|1
trabajar|2
teatropero|1
podremos|1
afuera|1
ventanas|1
amiga😻|1
sexo|2
german|1
puedas|1
objetivos|1
porfis|1
mandame|1
saludo|3
pls|2
súper|3
dejare|1
seguirte|1
pibe👐💞😍😋|1
😍❤|2
i|6
am|1
lucky|2
one|3
yixing|1
escucho|7
aventura|2
palita|1
motivas|1
ratitas|1
comentario|1
clinic:|1
quememos|1
entonces|2
hagamos|1
lago|1
caca|1
sumerjamonos|1
veamos|1
nos|15
😘😘😘😘|2
essa|1
fé|1
garay|1
jogando|1
vôleinaglobo|1
conozca|1
♥|8
preso|1
silencio|1
frase|1
permiteme|1
decirte|2
ustedes🐿|1
platicar|1
🎍💜|1
salgo|3
término|1
deporte|7
encanta😍💘|1
wow|2
❤️❤️❤️❤️|2
solsito|1
mediodía|1
calentito|1
^-^|1
simplemente|6
siente|15
footjob|1
cumfeet|1
chicos|3
irresistible|1
raro|1
paso|7
habla|2
has|2
superado❤❤|1
comidas|1
improvisando|1
frigorífico|1
chorizo|1
leche|2
encanta😍😍|1
usted|3
lado😍👫💕|1
tenerte|27
muerte|2
enterarme|1
embustes|1
👏🏻|1
runa|1
cuello|1
emborronada|1
apoyando|5
🙌🏻❤️|3
aquiestoy|3
jueguito|1
crash|1
suba|2
luzu|1
jueguitos|1
historia|2
nowplaying|2
꺼내|1
먹어요|1
eat|1
ziont|1
🎧|1
cuánto|1
tengas|1
sino|2
hacerlo|2
enamorado:|1
estudio|1
encerio|1
cualquiera|3
cumbia|1
recontra|1
rekete|1
rica|1
polenta|1
abuela|3
hamburguesas|1
cocina|1
*-*|1
noches|10
🌙|10
tantos|11
momentos|16
llenos|10
cariño|11
💙🙏🏻|10
soltera|2
17|2
vino|2
dra|1
convenció|1
póngame|1
diu|1
🤗🤗🤗|1
sobrinos|2
melodía|1
anita|3
reírse|1
da|11
miedo|3
cansador|1
comiendo|2
gratuitamente|1
avanza|5
trabaja|5
hincha|1
traiciona|1
⚪❤⚪|1
esten|1
perdón|1
dormir💞💞💞💞🙌🙌🙌|1
sacarle|2
india|1
🐶|1
📷|1
posa|1
propósito|1
pasate|1
algunos|1
likes|1
sigueme|1
porfa❤❤❤|1
vaalee😊💜|1
olor|2
básicamente|1
aignifica|1
clima|1
ami|4
😻|2
guapa|2
sentimiento|1
encontrado|3
compaña|1
mente|2
pierde|1
alegras|21
golpebelieber|29
caro|1
ilegal|1
méxico|1
nací|1
enfermo|1
jajajajajajajjaja|1
crei|1
weeexd|1
jajajajjajajajaj|1
benitoz|1
haber|7
logrado|5
haberlo|2
junto|5
ustedes|4
💚💚💚|5
+en|4
relación|4
montaña|4
rusa|4
sólo|9
ojalá|4
todos+|4
hayan|3
agotado|1
nervio|1
susto|1
🙈|2
»cabeza|1
par|4
coge|2
cuchara—|1
futbol|2
baloncesto|1
—dice|1
tarrina|1
para»|1
digas|2
diferentes|1
diferentesesther|1
erlich|1
paintings|1
volvería|1
facultad|2
transmiten|1
estos|2
😊😀👐|1
bacarme|1
sonrei|1
pila|1
tkm|2
cuidate|1
😘❤✌😝|1
jonan|1
vi|2
conocido|1
duele|3
pasatodo|1
cambiatodo|1
encuentra|1
encajatodo|1
llega|3
principio|1
empieza|1
final|6
des|1
canciones|4
maravillosas|1
😘|2
depende|1
quien|8
cine|2
miércoles:|1
gaste|1
puede😂😂😂|1
martin|1
garrix|1
droga|1
luna|3
brille|3
mañana|16
dará|1
feliz🎤|1
mtvpoplali|68
terminar|3
platicando|1
amanecer|4
afortunado😍|1
deseaba|1
pasarán|1
examen|2
hicieron|1
delicioso|2
haría|2
pueda|4
labios|3
chabonaaa|1
puteas|1
esperas|1
cambia|1
karma|1
llamadme|1
humilde|3
queréis|1
correcto|2
😍👏|1
morderte|1
besamos|1
bonita|4
forma|4
expresar|1
encantas|4
decirlo|1
pelicula|1
ponian|1
iban|1
jajaja😑|1
escribo|1
cuadernolas|1
prolijas😍😍|1
coreo|1
saludos|2
colombia|1
talves|1
fan|2
n1|1
poque|1
reinaaaa|1
👸👸👸|1
6|2
meses|6
lu|1
🎊🎉🎇🎆🎈🎈🎈|1
boludean|1
jajajaja😂😂😂😂|1
teu|1
sorriso|1
mentiras|1
cinismo🙂|1
reaccionar|1
reyna|1
top10detraseros|1
espero|3
ganadoras|1
hauls|1
existe|3
negar|1
cole|2
conté|1
peli|1
cagarles|1
dedicación|1
ciertos|1
profesores|1
✋|1
👏👏|2
visitar|1
city💕|1
hablamos|2
lud|1
llevemos|1
vender|1
ponerle|1
precio|2
cabe|1
bueh|1
tendré|1
revisar|1
adoptada|1
😫|1
fanta|1
light|1
sitios|1
articpirineos|1
playmobil|1
capital|1
cities|1
ufff|1
totonita|1
mojadita|1
alcalde|1
navarredonda|1
nosotros|2
votar|3
carlos|1
san|1
román|1
pioneros|1
🐖❤️|1
soundtrack|1
colocan|1
qui|1
gon|1
jinn|1
obi|1
wan|1
estan|2
darth|1
maul|1
starwarslaamenazafantasma|1
queda|1
flequillo|1
vieja|3
andrea|1
👍👌📷💣👏😊☺😗😍|1
gritando|1
loca|2
italiano|1
sabiendo|1
significado|1
75%|1
solamente|1
🙌|3
observación|2
personajes|1
magníficos|1
cae|1
🤓|1
jimin|1
piensa|5
jungkook|1
aumenta|1
jikook|1
graciaaas|1
icon|1
arreglar|1
rastas|1
recordando|2
pasado|3
presente|3
apaga|2
gris|2
rompiendo|1
bolas|2
ana|2
aprenda|1
do|1
wanna|1
know|2
púa|1
deja|2
sutil|1
arte|1
herramienta|1
bullying|1
ésta|1
feliz😁💕|1
problema|4
importan|3
mínima|3
corto|3
dias|7
pienso|2
consecuencias|1
supone|1
quiere|7
equivoco|1
vuestras|1
perdéis|1
hegemonía|1
veros|1
hundidos|1
chorizos|1
mangantes|1
mitad|2
compañera|1
correos|1
añitos|1
🎂🎆🎇🎉🎊|1
canciòn|2
automáticamente|2
sei|2
bravissima|2
👏❤|2
bomba|1
profr|1
humberto|1
novelo|1
cumpleaÑos|1
nena|1
festejar|1
estarÁ|1
marÍa|1
yucatÁn|1
sevilla|2
😊😊|1
oremonogatari|1
anime|1
costo|2
orgullosa|3
logros|3
llegando|5
🔝👸🏼|5
objeto|1
u|1
lleva|2
vuelvo|3
respondeme|1
invitar|1
restoranes|1
algún|4
andan|2
república|1
avisen|1
vivía|2
sospechar|2
descargaría|2
llsif|2
acabaría|2
sumida|2
desesperación|3
idol|2
hell|2
existencia|2
jamas|1
partir|3
dejo|3
sonrisa😍|1
reina|3
enviarle|1
desarreglada|1
responda|1
sea😫😭😍|1
dejarme|1
palabras|2
pf|1
apoyemos|1
blogs|1
literarios:|1
sigues|1
magia|6
feliz🎵|1
trás|1
pantalla|3
cerca|3
alegrarme|1
días❤|1
llevo|1
dibujando|1
cúbitos|1
radios|1
músculos|1
colores|2
estuviera|1
preescolar|1
regalo|2
iba|2
comprar|6
bt|2
deprime|2
despierta|2
breves|1
importar|1
❤👑🎉|1
guerra|1
gifts|1
gf|1
única|5
destroza|1
corazón|8
when|1
senpai|1
mala|2
:^|1
ésos|2
demuestro|3
sonrisa🙂|2
bajon|2
ezequiel♥😭|2
“lo|82
feliz”|82
soporto|1
-|4
mayoría|1
-que|2
puteria|1
gordooo|1
pesadooo…|1
skype|1
incluso|2
agradezco|2
pecado|1
lpda|1
tirada|1
amigo|1
fierro|1
dio|4
te…|1
papito|1
eligió|1
conpapitodios|1
homófobos|1
sufran|1
gays|1
felizel|1
aliviar|1
sufrimientos|1
jajajajajajajaj|1
vive|3
amargada|1
😭😭qe|1
5mino10min|1
diga|5
feliz👫😍|7
chvrches|1
💛|3
decirles|6
pensé|5
-apego|1
tuya|1
mirandote-|1
segunda|4
carls|1
jr|1
gorda|3
inexplicablemente|2
reflejo|1
suerte|1
sufrir|3
🔥😏|1
tenes|2
jordy|1
4|3
hermosos|1
feliz😍😍😍🙈|1
❤❤|1
amiga|6
acabar|3
selectividad|2
mar🎉sos|1
siempre💪|1
quiero❤❤|1
sabio|3
advirtió|2
momentos🎶🎵💝|1
acostarme|1
taparme|1
perdon|1
escuela|1
verles|1
publicara|1
tendría…|1
feliz😊|2
segura|1
advirtio|1
aritz|1
mila|1
calor|1
normal|3
saques|1
manguera|1
sintió|2
querido|2
angel|1
finque|1
🎶🎶|1
david|1
pelotudeces❤|1
menciona|3
1|7
fashion|3
quote|3
instylexexpress|3
sonriendo|1
princesa|1
triunfando|1
amas😊😀😍🙂|1
aaamo|1
maaaaas|1
makano|1
caretas|1
24/7|1
creaciones|1
comunicado|1
general:|1
sr|1
junior|1
pertenece|3
dwe|1
ocasiones|1
ha|10
contento|2
jamás|4
olvidar|1
😘😘😘|1
adoro|6
pacíficamente|1
gustó|1
hablarme|1
autoregalarme|1
feliz💘🎶|1
destruido|1
animo|1
meta|3
majoguzman:|1
👉😍|1
terror|1
pondría|1
connie|1
britton|1
enteró|1
bizarren|1
<3<3|1
acá|5
corneador|1
quieres|2
desnuda|1
suele|1
valorar|1
luego|6
pierdes|1
creador|1
almohaditas|1
pitusas|1
sepa|1
negrito|1
confia|1
lagrimÓn|1
emociÓn|1
ignoras|1
colectivero|1
ríe|2
escucha|1
radio|2
perdono|1
